review_id,product_id,product_name,service_category,review_text,mapping_scope,consumer_expression,normalized_concept,existing_facet_match,existing_value_match,discovery_type,proposed_facet,proposed_value,evidence_sentence,confidence,medical_outcome_flag
20,,,UNKNOWN,매일 꾸준히 단백질과 칼슘을 섭취하는 것이 어려워 뉴트리미 자연방목 프로틴을 겟했어요 귀여운 미니 보틀도 같이 보내주셨던데 너무 귀염뽀쨕해요!! 뉴트리미 자연방목 프로틴은 거부감 없이 먹을 수 있어서 요즘 매일 섭취하고 있답니다^^ 물에 타먹어도 되고 요거트에 뿌려 먹어도 굿~~,UNMAPPED_REFERENCE,,non_facet,,,NON_FACET,,,매일 꾸준히 단백질과 칼슘을 섭취하는 매일 꾸준히 단백질과 칼슘을 섭취하는 것이 어려워 뉴트리미 자연방목 프로틴을 겟했어요 귀여운 미니 보틀도 같이 보내주셨던데 너무 귀염뽀쨕해요!! 뉴트리미 자연방목 프로틴은 거부감 없이 먹을 수 있어서 요즘 매일 섭취하고 있답니다^^ 물에 타먹어도 되고 요거트에 뿌려 먹어도 굿~~,LOW,False
19,1,"뉴트리미 에센셜 팩, 1개 150정(30포)",health-functional-food,여러개 가지고 다니면서 챙겨 먹기 힘들었는데 에센셜팩은 한포씩 담겨 있어서 가지고 다니면서 먹기 편해요 필수로 챙겨먹어야할 비타민 ㅁㅣ네랄 오메가 루테인 코엔자임 까지 한포로 챙길수 있어서 너무 좋아요,HFF_MAPPED,먹기 편,intake_convenience:convenient,intake_convenience,convenient,EXISTING_FACET,,,여러개 가지고 다니면서 챙겨 먹기 힘 여러개 가지고 다니면서 챙겨 먹기 힘들었는데 에센셜팩은 한포씩 담겨 있어서 가지고 다니면서 먹기 편해요 필수로 챙겨먹어야할 비타민 ㅁㅣ네랄 오메가 루테인 코엔자임 까지 한포로 챙길수 있어서 너무 좋아요,HIGH,False
19,1,"뉴트리미 에센셜 팩, 1개 150정(30포)",health-functional-food,여러개 가지고 다니면서 챙겨 먹기 힘들었는데 에센셜팩은 한포씩 담겨 있어서 가지고 다니면서 먹기 편해요 필수로 챙겨먹어야할 비타민 ㅁㅣ네랄 오메가 루테인 코엔자임 까지 한포로 챙길수 있어서 너무 좋아요,HFF_MAPPED,챙겨,intake_convenience:convenient,intake_convenience,convenient,EXISTING_FACET,,,여러개 가지고 다니면서 챙겨 먹기 힘 여러개 가지고 다니면서 챙겨 먹기 힘들었는데 에센셜팩은 한포씩 담겨 있어서 가지고 다니면서 먹기 편해요 필수로 챙겨먹어야할 비타민 ㅁㅣ네랄 오메가 루테인 코엔자임 까지,HIGH,False
19,1,"뉴트리미 에센셜 팩, 1개 150정(30포)",health-functional-food,여러개 가지고 다니면서 챙겨 먹기 힘들었는데 에센셜팩은 한포씩 담겨 있어서 가지고 다니면서 먹기 편해요 필수로 챙겨먹어야할 비타민 ㅁㅣ네랄 오메가 루테인 코엔자임 까지 한포로 챙길수 있어서 너무 좋아요,HFF_MAPPED,먹기 힘,intake_convenience:inconvenient,intake_convenience,inconvenient,EXISTING_FACET,,,여러개 가지고 다니면서 챙겨 먹기 힘 여러개 가지고 다니면서 챙겨 먹기 힘들었는데 에센셜팩은 한포씩 담겨 있어서 가지고 다니면서 먹기 편해요 필수로 챙겨먹어야할 비타민 ㅁㅣ네랄 오메가 루테인 코엔자임 까지 한포로 챙,HIGH,False
18,,,UNKNOWN,"출처를 알 수 없는 단백질 제품이 우후죽순으로 출시되는데, 원료를 꼼꼼히 보는 편이라 뉴트리미 자연방목 프로틴으로 선택했어요~ 저는 외부 활동을 많이해서 타 제품에 비해 간편하고 휴대성이 좋은 점도 마음에 들었고, 소량의 물로도 만들 수 있어서 단백질음료 먹기 힘드신 분들도 부담없이 드실 수 있는 제품이에요:)",UNMAPPED_REFERENCE,원료,ingredient_inclusion:ingredient_mentioned,ingredient_inclusion,ingredient_mentioned,EXISTING_FACET,,,"출처를 알 수 없는 단백질 제품이 우 출처를 알 수 없는 단백질 제품이 우후죽순으로 출시되는데, 원료를 꼼꼼히 보는 편이라 뉴트리미 자연방목 프로틴으로 선택했어요~ 저는 외부 활동을 많이해서 타 제품에 비해 간편하고 휴대성이 좋은 점도 마음에 들었고, 소량의 물로도 만들 수 있어",HIGH,False
18,,,UNKNOWN,"출처를 알 수 없는 단백질 제품이 우후죽순으로 출시되는데, 원료를 꼼꼼히 보는 편이라 뉴트리미 자연방목 프로틴으로 선택했어요~ 저는 외부 활동을 많이해서 타 제품에 비해 간편하고 휴대성이 좋은 점도 마음에 들었고, 소량의 물로도 만들 수 있어서 단백질음료 먹기 힘드신 분들도 부담없이 드실 수 있는 제품이에요:)",UNMAPPED_REFERENCE,간편,intake_convenience:convenient,intake_convenience,convenient,EXISTING_FACET,,,"품이 우 출처를 알 수 없는 단백질 제품이 우후죽순으로 출시되는데, 원료를 꼼꼼히 보는 편이라 뉴트리미 자연방목 프로틴으로 선택했어요~ 저는 외부 활동을 많이해서 타 제품에 비해 간편하고 휴대성이 좋은 점도 마음에 들었고, 소량의 물로도 만들 수 있어서 단백질음료 먹기 힘드신 분들도 부담없이 드실 수 있는 제품이에요:)",HIGH,False
18,,,UNKNOWN,"출처를 알 수 없는 단백질 제품이 우후죽순으로 출시되는데, 원료를 꼼꼼히 보는 편이라 뉴트리미 자연방목 프로틴으로 선택했어요~ 저는 외부 활동을 많이해서 타 제품에 비해 간편하고 휴대성이 좋은 점도 마음에 들었고, 소량의 물로도 만들 수 있어서 단백질음료 먹기 힘드신 분들도 부담없이 드실 수 있는 제품이에요:)",UNMAPPED_REFERENCE,먹기 힘,intake_convenience:inconvenient,intake_convenience,inconvenient,EXISTING_FACET,,,"편이라 뉴트리미 자연방목 프로틴으로 선택했어요~ 저는 외부 활동을 많이해서 타 제품에 비해 간편하고 휴대성이 좋은 점도 마음에 들었고, 소량의 물로도 만들 수 있어서 단백질음료 먹기 힘드신 분들도 부담없이 드실 수 있는 제품이에요:)",HIGH,False
18,,,UNKNOWN,"출처를 알 수 없는 단백질 제품이 우후죽순으로 출시되는데, 원료를 꼼꼼히 보는 편이라 뉴트리미 자연방목 프로틴으로 선택했어요~ 저는 외부 활동을 많이해서 타 제품에 비해 간편하고 휴대성이 좋은 점도 마음에 들었고, 소량의 물로도 만들 수 있어서 단백질음료 먹기 힘드신 분들도 부담없이 드실 수 있는 제품이에요:)",UNMAPPED_REFERENCE,휴대,packaging:portable,packaging,portable,EXISTING_FACET,,,"출처를 알 수 없는 단백질 제품이 우후죽순으로 출시되는데, 원료를 꼼꼼히 보는 편이라 뉴트리미 자연방목 프로틴으로 선택했어요~ 저는 외부 활동을 많이해서 타 제품에 비해 간편하고 휴대성이 좋은 점도 마음에 들었고, 소량의 물로도 만들 수 있어서 단백질음료 먹기 힘드신 분들도 부담없이 드실 수 있는 제품이에요:)",HIGH,False
17,,,UNKNOWN,"다이어트를 하면서 단백질을 여러번 먹어보았는데, 특유의 비린맛이 나서 먹기 거부감이 들어서 잘 안먹게 되었었는데, 뉴트리미 자연방목프로틴은 비린맛은 전혀 없고, 우유나 두유보다 더 진한맛이 느껴지면서 맛있더라구요. 아이들이 딱 좋아할만이예요. 아이들, 부모님께 선물해도 좋은 단백질영양제 좋은건 같이 나눠먹어야겠어요 ^^",UNMAPPED_REFERENCE,번 먹,intake_frequency,,,NEW_FACET_CANDIDATE,intake_frequency,,"다이어트를 하면서 단백질을 여러번 먹 다이어트를 하면서 단백질을 여러번 먹어보았는데, 특유의 비린맛이 나서 먹기 거부감이 들어서 잘 안먹게 되었었는데, 뉴트리미 자연방목프로틴은 비린맛은 전혀 없고, 우유나 두유보다",MEDIUM,False
17,,,UNKNOWN,"다이어트를 하면서 단백질을 여러번 먹어보았는데, 특유의 비린맛이 나서 먹기 거부감이 들어서 잘 안먹게 되었었는데, 뉴트리미 자연방목프로틴은 비린맛은 전혀 없고, 우유나 두유보다 더 진한맛이 느껴지면서 맛있더라구요. 아이들이 딱 좋아할만이예요. 아이들, 부모님께 선물해도 좋은 단백질영양제 좋은건 같이 나눠먹어야겠어요 ^^",UNMAPPED_REFERENCE,비린,odor:fishy,odor,fishy,EXISTING_FACET,,,"다이어트를 하면서 단백질을 여러번 먹 다이어트를 하면서 단백질을 여러번 먹어보았는데, 특유의 비린맛이 나서 먹기 거부감이 들어서 잘 안먹게 되었었는데, 뉴트리미 자연방목프로틴은 비린맛은 전혀 없고, 우유나 두유보다 더 진한맛이 느껴지면서 맛있더라구요. 아이들이 딱 좋아할만이예",HIGH,False
